Card Name	Link	Quote attribution	Quote	Citation	Extra notes	Framing Issue	Damage Issue	Color Issue	Upscaled?	Working on	Proposed change location in drive	Art Pass Finished
Siege	https://venice11.umwblogs.org/venice-and-the-fourth-crusade-of-1204/	Pope Nicholas V (1453) interesting the picture is from when venice sacked constantinople in 1200 but the quote is from when the turks finally took it over for good	All my life will be obscured by the doleful addition:\r'In his time Constantinople was taken and\rplundered.'	https://www.ccel.org/ccel/s/schaff/hcc6/cache/hcc6.pdf		 	 	 	x			1
Siege2	https://upload.wikimedia.org/wikipedia/commons/8/84/Vienna_Battle_1683.jpg	Andrew	Their guns sounded from dusk till dawn;\rbut we repelled them all.	N/A		 	 	 	x			1
Siege3	https://upload.wikimedia.org/wikipedia/commons/1/1e/Francisco_de_Zurbar%C3%A1n_014.jpg	Shakespeare (richard III)	\`A horse, A horse. My kingdom for a horse^!\`	original quotation		 	 	 	x			1
Smuggler	https://upload.wikimedia.org/wikipedia/commons/7/7c/The_moneylender_%28The_antique_dealer%29_%281853%29%2C_by_Domenico_Induno.jpg	Andrew	\`Trinkets and spices from the far reaches of the\rempire^!\` (Best not ask why the prices are so low.)	N/A		 	 	 	x			1
Soldier	https://upload.wikimedia.org/wikipedia/commons/d/db/Zouave_-_Grolleron.jpg	War and Peace Leo Tolstoy	\`Let the dead bury their dead, but while I have a life,\rI must live.\`	The Project Gutenberg eBook of War and Peace, by Leo Tolstoy		 	 	 	x			1
Soldier2	https://upload.wikimedia.org/wikipedia/commons/2/26/Paul_Grolleron_Wachposten.jpg	War and Peace Leo Tolstoy	If no one fought except on his own conviction,\rthere would be no wars	The Project Gutenberg eBook of War and Peace, by Leo Tolstoy		 	 	 	x			1
Spy	https://upload.wikimedia.org/wikipedia/commons/3/3a/Sir_Francis_Walsingham_by_John_De_Critz_the_Elder.jpg	Ben Franklin	Three may keep a secret, if two are dead.	https://en.wikiquote.org/wiki/Secrecy#:~:text=Daniel%2012%3A4,them%20are%20dead.		shift down	 	 	x			1
Square	https://commons.wikimedia.org/wiki/File:Wollen,_Battle_of_Quatre_Bras.jpg	King Agesilaus of Sparta, unsure if this version is under copyright but lots of people use it	The walls of Sparta were its men, and its borders\rthe points of their spears.	http://penelope.uchicago.edu/Thayer/E/Roman/Texts/Plutarch/Moralia/Sayings_of_Spartans*/main.html#:~:text=He%20used%20to%20say%20that%20the%20young%20men%20were%20the%20walls%20of%20Sparta%2C%20and%20the%20points%20of%20their%20spears%20its%20boundaries		 	 	 	x			1
Storm	https://upload.wikimedia.org/wikipedia/commons/f/f3/Rembrandt_Christ_in_the_Storm_on_the_Lake_of_Galilee.jpg	the Wipers Times 1918	Hell is not fire; Hell is mud.	need to find primary source		shift up	 		x			1
Styx	https://upload.wikimedia.org/wikipedia/commons/2/27/William_Bouguereau_-_Dante_and_Virgile_-_Google_Art_Project_2.jpg	Dante's Inferno	\`Not all the gold, that is beneath the moon,\rOr ever hath been, of these toil-worn souls\rMight purchase rest for one.\`	https://www.gutenberg.org/files/8800/8800-h/8800-h.htm#cantoI.19:~:text=Not%20all%20the%20gold%2C%20that%20is%20beneath%20the%20moon%2C%0AOr%20ever%20hath%20been%2C%20of%20these%20toil%2Dworn%20souls%0AMight%20purchase%20rest%20for%20one.		 	 	 	x			1
SunKing	https://upload.wikimedia.org/wikipedia/commons/6/6c/Louis_XIV_by_Juste_d%27Egmont.jpg	Louis 14	\`L'Etat, c'est moi.\`	original quotation propably apocraful https://en.wikiquote.org/wiki/Louis_XIV_of_France#:~:text=%5Bedit%5D-,L%27%C3%89tat%2C%20c%27est%20moi.,-I%20am%20the		 shift down	 	 	x			1
Telescope	https://upload.wikimedia.org/wikipedia/commons/7/7c/Still_life_with_telescopes_and_an_astrolabe%2C_an_hour_glass%2C_a_book_and_a_quill_by_Philippe_Rousseau.jpg	Galileo misquoted from Dialogue Concerning the two Chief World Systems (1632)	All truths are easy to understand once discovered;\rthe point is to discover them.	https://www.oxfordreference.com/display/10.1093/acref/9780191866692.001.0001/q-oro-ed6-00004705;jsessionid=46A8A7BEB6338204758215239CED6AA4#:~:text=So%20are%20all%20truths%2C%20once%20they%20are%20discovered		shift right, subject will be cut off by safe zone	 	 	x			1
TerrorKing	https://upload.wikimedia.org/wikipedia/commons/2/2b/Vasnetsov_Ioann_4.jpg	Leo Tolstoy, the death of Ivan Ilych's	A life most simple and most ordinary and therefore\rmost terrible.	https://en.wikisource.org/wiki/The_Death_of_Ivan_Ilych/II#:~:text=Ivan%20Ilych%27s%20life%20had%20been%20most%20simple%20and%20most%20ordinary%20and%20therefore%20most%20terrible		shift left + down	 	 	x			1
Tower	https://commons.wikimedia.org/wiki/File:Italian_Coast_Scene_with_Ruined_Tower-1838-Thomas_Cole.jpg	Andrew	\`It is said if a man ascended the tower, he could\rbathe in the dew of heaven.\rHere is what remains of their arrogance.\`	N/A	It is said if a man acended the tower, his children would be grown at the sumit and he could bathe in the dew of heaven. Here is what remains of their arrogance.	shift left	 	 	x			1
TraitorKing	https://upload.wikimedia.org/wikipedia/commons/1/1b/Luis_XIII%2C_rey_de_Francia_%28Philippe_de_Champaigne%29.jpg	Shakespeare (macbeth)	\`It will have blood, they say. Blood will have blood.\`	original quotation		shift down	 maybe need more speckle removal?	 	x			1
Usury	https://upload.wikimedia.org/wikipedia/commons/6/64/Massysm_Quentin_%E2%80%94_The_Moneylender_and_his_Wife_%E2%80%94_1514.jpg	Lorenzo de' Medici	\`What I have dreamed in an hour is worth more\rthan what you have done in four.\`	it is likely impossible to find who originally translated this		zoom out?	 	damage on blue	x			1
Void	https://en.wikipedia.org/wiki/File:Vasily_Perov_-_%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_-_Google_Art_Project.jpg	Dostoyevsky	He wished they would shoot him quickly and have\rit done with.	https://www.gutenberg.org/cache/epub/2638/pg2638-images.html#:~:text=wished%20they%20would%20shoot%20him%20quickly%20and%20have%20done%20with%20it		 	 	 	x			1
War	https://commons.wikimedia.org/wiki/File:Hans_Larwin_-_Soldat_und_Tod_-_1917.jpg	Max von Schenkendorf "the iron cross" inspired Otto von Bismark's famous speech of "blood and iron"	Only iron can save us, And only blood can redeem\rFrom the heavy chains of sin, From the arrogance\rof evil.	https://www.zgedichte.de/gedichte/max-von-schenkendorf/das-eiserne-kreuz.html	 	zoom out, shift left	 speckles on skeleton	 	x			1
Waterworks	https://upload.wikimedia.org/wikipedia/commons/7/7a/De_doorbraak_van_de_Sint-Anthonisdijk_bij_Amsterdam_Dijkdoorbraak_te_zien_van_de_Amsterdamse_Sint_Anthonisdijk_-_nu_Zeeburgerdijk_-_ten_gevolge_van_de_Sint-Pietersvloed_in_1651%2C_SK-A-5030.jpg	bible	Behold, divine water rises and becomes an \roverflowing flood.	Jeremiah 47:2 https://www.kingjamesbibleonline.org/Jeremiah-Chapter-47/		change art? the water is obscured by text box	lots of cracking	 	x			1
WinterKing	https://upload.wikimedia.org/wikipedia/commons/d/d2/Friedrich_V._von_der_Pfalz.jpg	lord byron	\`Look on my Works, ye Mighty, and despair^!\`	https://en.wikipedia.org/wiki/Ozymandias		shift down	 	 	x			1
Wrath	https://upload.wikimedia.org/wikipedia/commons/3/33/Iv%C3%A1n_el_Terrible_y_su_hijo%2C_por_Ili%C3%A1_Repin.jpg	Dostoyevsky	Something awful, hideous, and suddenly\runderstood... Razumihin turned pale.	https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=something%20awful%2C%20hideous%2C%20and%20suddenly%20understood%20on%20both%20sides....%20Razumihin%20turned%20pale.		shift up	 	 	x			1
Zealot	https://commons.wikimedia.org/wiki/File:The_great_events_by_famous_historians_-_a_comprehensive_and_readable_account_of_the_world%27s_history,_emphasizing_the_more_important_events,_and_presenting_these_as_complete_narratives_in_the_(14782295575).jpg	Andrew	\`He was a heretic, I swear it^!\`	N/A		 	 blurry	 	x			1
												Percent Finished
												
												100
	Scène_de_bataille_Chasseurs_de_la_Garde.PNG (801×655) (wikimedia.org)					 						
	Detaille_Le_Rêve.jpg (2036×1523) (wikimedia.org)					 	 	 		 		
	A_Man_in_Armor_-_Rembrandt_Harmenszoon_van_Rijn.png (1024×1536) (wikimedia.org)					 	 	 		 		
	Snayers,_Pieter_-_Cavalry_Skirmish_-_Google_Art_Project.jpg (2501×1748) (wikimedia.org)					 	 	 		 		
	Licence MIDEN: Image (wordpress.com)					 	 	 		 		
	George_Ames_Aldrich_Nocturne_Church.jpg (1157×1170) (wikimedia.org)					 	 	 		 		
	1851_Lessing_Schuetzen_am_Engpass_anagoria.JPG (3045×3648) (wikimedia.org)					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/8/87/Workshop_of_Peter_Paul_Rubens_-_The_Feast_of_Herod.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/d/d0/Spanish_Armada_fireships.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/a/ae/JacopoTintoretto.YoungMan01.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/d/d3/Rocroi%2C_el_%C3%BAltimo_tercio%2C_por_Augusto_Ferrer-Dalmau.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/8/8f/Launch_of_fireships_against_the_Spanish_Armada%2C_7_August_1588_RMG_BHC0263.jpg					 	 	 		 		
	Valmy_Battle_painting.jpg (6926×4226) (wikimedia.org)					 	 	 		 		
	Vernet-Battle_of_Hanau.jpg (6948×4226) (wikimedia.org)					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/1/18/Charge_of_the_Light_Brigade.jpg											
	Józef Brandt - Wikimedia Commons					 	 	 		 		
	https://en.wikipedia.org/wiki/Sta%C5%84czyk#/media/File:Matejko-Gamrat_i_Sta%C5%84czyk.jpg											
	https://upload.wikimedia.org/wikipedia/commons/7/7a/Peter_Paul_Rubens%2C_%2C_Kunsthistorisches_Museum_Wien%2C_Gem%C3%A4ldegalerie_-_Philip_der_Sch%C3%B6ne_%281478-1506%29_-_GG_700_-_Kunsthistorisches_Museum.jpg					 	 	 		 		
	https://en.wikipedia.org/wiki/File:Butler_Lady_Quatre_Bras_1815.jpg					 	 	 		 		
	https://en.wikipedia.org/wiki/File:Thompson_laingsnek.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/b/b1/Willewalde_-_Czar%27s_Guard_capture_4th_line_regiment%27s_standard_at_Austerlitz.jpg											
	https://upload.wikimedia.org/wikipedia/commons/8/84/School_of_Michiel_Jansz._van_Mierevelt_001.jpg					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/2/26/John_Martin_-_The_Deluge_-_Google_Art_Project.jpg											
	https://en.wikipedia.org/wiki/User:DITWIN_GRIM#/media/File:Friedland,_1807_(1875)_Ernest_Meissonier.jpg											
	https://upload.wikimedia.org/wikipedia/commons/1/1e/Siege_of_Lisbon_by_Roque_Gameiro.jpg											
	https://upload.wikimedia.org/wikipedia/commons/9/9a/William_Simpson_-_Charge_of_the_light_cavalry_brigade%2C_25th_Oct._1854%2C_under_Major_General_the_Earl_of_Cardigan.jpg											
	https://upload.wikimedia.org/wikipedia/commons/a/a8/National_Museum_in_Poznan_-_Przej%C5%9Bcie_przez_Berezyn%C4%99.JPG											
	https://upload.wikimedia.org/wikipedia/commons/d/da/Dutch_Soldiers_at_the_Battle_of_Berezina.jpg											
	https://upload.wikimedia.org/wikipedia/commons/d/db/Crossing_the_Berezina_River%2C_by_Peter_von_Hess.jpg											
	https://en.wikiquote.org/wiki/File:Matejko_Hanging_of_the_Zygmunt_bell.jpg											
	https://commons.wikimedia.org/wiki/File:Cuirassiers_1805_Meissonier_Chantilly.jpg											
	Christian Sell | 136 Artworks | MutualArt					 	 	 		 		
	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Saint_Jerome_Writing-Caravaggio_(1605-6).jpg/1200px-Saint_Jerome_Writing-Caravaggio_(1605-6).jpg											
	https://en.wikipedia.org/wiki/Reply_of_the_Zaporozhian_Cossacks											
	https://upload.wikimedia.org/wikipedia/commons/7/79/Salvator_Rosa_-_The_Witches%27_Sabbath_-_BF.1982.7_-_Museum_of_Fine_Arts.jpg											
	https://pbs.twimg.com/media/FUC_JrEX0AAi8Rq.jpg:large											
	Cuadro_-Calderote-_Primera_Guerra_Carlistas_by_Ferrer_Dalmau.jpg (2000×1143) (wikimedia.org)					 	 	 		 		
	https://commons.wikimedia.org/wiki/File:La_caza_salvaje_de_Od%C3%ADn,_por_Peter_Nicolai_Arbo.jpg					 	 	 		 		
												
												
	Alexander/Juggernaut art alternatives											
	https://commons.wikimedia.org/wiki/File:Alexander_of_macedon_trust%27s_the_doctor_Philip,_Henryk_Siemiradzki.jpg											
	https://commons.wikimedia.org/wiki/File:Giovanni_Paolo_Panini_(1691-1765)_-_Alexander_and_the_Gordian_Knot_-_266897_-_National_Trust.jpg											
	https://commons.wikimedia.org/wiki/File:Caspar_de_Crayer_Alexander_and_Diogenes.jpg											
	https://upload.wikimedia.org/wikipedia/commons/3/3e/Pietro_da_Cortona_-_Battle_of_Alexander_versus_Darius_%28panorama%29.png											
	https://upload.wikimedia.org/wikipedia/commons/1/1a/Carl_Theodor_von_Piloty_-_Alexander_der_Gro%C3%9Fe_nimmt_sterbend_Abschied_von_seinem_Heere_%28ca._1886%29.jpg	May want ot replace demise with this painting, not sure which one I like better										
	https://commons.wikimedia.org/wiki/File:Nicolaes_Berchem_-_The_army_of_Porus_and_its_elephants_are_conquered_by_Alexander_239N09812_9NLB3.jpg											
	https://commons.wikimedia.org/wiki/File:Charles_Le_Brun_-_The_Family_of_Darius_before_Alexander_-_WGA12532.jpg											
	https://en.wikipedia.org/wiki/File:Le%C3%B3nidas_en_las_Term%C3%B3pilas,_por_Jacques-Louis_David.jpg	I										
	https://en.wikipedia.org/wiki/File:Jacques-Louis_David_-_Oath_of_the_Horatii_-_Google_Art_Project.jpg											
	https://en.wikipedia.org/wiki/File:John_Martin_-_Joshua_Commanding_the_Sun_to_Stand_Still_-_Google_Art_Project.jpg											
	https://upload.wikimedia.org/wikipedia/commons/0/08/John_Martin_Le_Pandemonium_Louvre.JPG											
	https://en.wikipedia.org/wiki/File:John_Martin_-_Destruction_of_Tyre_-_Google_Art_Project.jpg											
	https://upload.wikimedia.org/wikipedia/commons/d/de/Sadak_in_Search_of_the_Waters_of_Oblivion.jpg											
												
				https://en.wikipedia.org/wiki/St_Crispin%27s_Day_Speech#:~:text=But%20if%20it%20be%20a%20sin%20to%20covet%20honour%2C%0AI%20am%20the%20most%20offending%20soul%20alive.								
												
			 	https://en.wikipedia.org/wiki/St_Crispin%27s_Day_Speech#:~:text=From%20this%20day%20to%20the%20ending%20of%20the%20world%2C%0ABut%20we%20in%20it%20shall%20be%20remember%C3%A8d%E2%80%94%0AWe%20few%2C%20we%20happy%20few%2C%20we%20band%20of%20brothers%3B%0AFor%20he%20to%2Dday%20that%20sheds%20his%20blood%20with%20me%0AShall%20be%20my%20brother%3B	 							
												
												
												
												
	Horse guys											
	https://en.mng.hu/app/uploads/2019/01/28923.jpg			https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=%E2%80%9CYou%E2%80%99re%20a%20gentleman%2C%E2%80%9D%20they%20used%20to%20say.%20%E2%80%9CYou%20shouldn%E2%80%99t%20hack%20about%20with%20an%20axe%3B%20that%E2%80%99s%20not%20a%20gentleman%E2%80%99s%20work.%E2%80%9D								
	https://www.simonis-buunk.nl/images/art/large/23206.jpg			https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=and%20your%20worst%20sin%20is%20that%20you%20have%20destroyed%20and%20betrayed%20yourself%20for%20nothing								
	https://sun9-77.userapi.com/impf/c626519/v626519062/51fb3/iIWqQZaKOKo.jpg?size=450x450&quality=96&sign=91cbed1201c67555eb36727fbc3247bc&c_uniq_tag=lF_EQjUieip12YBZjUTD5JEWyFnHaAd5N19RA10MeYk&type=album											
	https://i.pinimg.com/originals/69/d3/6c/69d36cdaa0386ba9be5b99a15aa0efd9.jpg											
	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Simonis_%26_Buunk_%E2%80%93_Hermanus_Willem_Koekkoek_%E2%80%93_Trumpeter_of_the_Dutch_field_artillery.jpg/800px-Simonis_%26_Buunk_%E2%80%93_Hermanus_Willem_Koekkoek_%E2%80%93_Trumpeter_of_the_Dutch_field_artillery.jpg			If the devil exists he has been created in our own image as we were in God's, The copy is a copy is a copy								
	https://upload.wikimedia.org/wikipedia/commons/f/f6/Emil_H%C3%BCnten_-_Kaiser_Wilhelm_I_und_Kronprinz_Friedrich_zu_Pferde.jpg			https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=the%20new%20life%20would%20not%20be%20given%20him%20for%20nothing%2C%20that%20he%20would%20have%20to%20pay%20dearly%20for%20it%2C%20that%20it%20would%20cost%20him%20great%20striving%2C%20great%20suffering.								
	https://fantlab.ru/messages/303/3035/30350/3035049/%D0%A8%D0%BF%D0%B8%D0%BE%D0%BD%2003.jpg											
	https://upload.wikimedia.org/wikipedia/commons/a/a9/A_Cavalryman_MET_ep15.30.20.R.jpg											
	https://upload.wikimedia.org/wikipedia/commons/9/91/Simonis_%26_Buunk_%E2%80%93_Hermanus_Willem_Koekkoek_%E2%80%93_Red_Hussars_on_horseback.jpg											
	https://upload.wikimedia.org/wikipedia/commons/6/63/Alphonse_de_Neuville_1878_capitaine_de_dragons.JPG											
	https://live.staticflickr.com/1654/25915055193_f3f867fa3b_b.jpg											
	https://media.mutualart.com/Images/2016_08/26/11/111717191/9bc34c00-5d9a-471e-a993-d9309d183b42.Jpeg			https://en.wikiquote.org/wiki/Alexis_de_Tocqueville#:~:text=Ne%20voyez%2Dvous%20pas%20que%20la%20terre								
												
												
												
												
												
				I'm pretty sure we can use this since I cannot find the original source of the translation or the original letter, and lots of people quote it on the internet, but i am unsure if it seems too risky go with second quote								
				https://www.kingjamesbibleonline.org/Matthew-23-37/								
